"Species","Year","Plot","Subplot","Treat.Code","germ.tot","germ.proj","tot.mort","viable","p.mort","PC.G","PC.F","PC.s13","p.germ","obs"
"Agoseris heterophylla","2016",83,"No Grass","D",60,26,3,95,0.115384615384615,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.631578947368421,1
"Agoseris heterophylla","2017",5,"No Grass","W",60,15,0,94,0,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.638297872340426,2
"Agoseris heterophylla","2017",15,"No Grass","W",74,15,0,94,0,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.787234042553192,3
"Agoseris heterophylla","2016",5,"Grass","W",52,29,8,95,0.275862068965517,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.547368421052632,4
"Agoseris heterophylla","2016",97,"No Grass","D",75,32,9,95,0.28125,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.789473684210526,5
"Agoseris heterophylla","2016",17,"No Grass","W",68,26,9,95,0.346153846153846,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.715789473684211,6
"Agoseris heterophylla","2016",29,"Grass","W",62,26,18,95,0.692307692307692,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.652631578947368,7
"Agoseris heterophylla","2016",81,"No Grass","D",46,31,13,95,0.419354838709677,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.484210526315789,8
"Agoseris heterophylla","2016",5,"No Grass","W",31,29,6,95,0.206896551724138,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.326315789473684,9
"Agoseris heterophylla","2017",17,"Grass","W",21,15,0,94,0,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.223404255319149,10
"Agoseris heterophylla","2017",23,"Grass","W",84,15,6,94,0.4,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.893617021276596,11
"Agoseris heterophylla","2017",37,"Grass","W",30,16,12,94,0.75,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.319148936170213,12
"Agoseris heterophylla","2016",15,"Grass","W",51,25,5,95,0.2,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.536842105263158,13
"Agoseris heterophylla","2016",17,"Grass","W",95,29,7,95,0.241379310344828,-0.715725194710067,-0.876427664975023,-2.31764141783942,1,14
"Agoseris heterophylla","2017",82,"No Grass","C",77,16,2,94,0.125,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.819148936170213,15
"Agoseris heterophylla","2017",84,"No Grass","C",82,15,0,94,0,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.872340425531915,16
"Agoseris heterophylla","2017",23,"No Grass","W",75,17,6,94,0.352941176470588,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.797872340425532,17
"Agoseris heterophylla","2017",30,"No Grass","C",94,15,2,94,0.133333333333333,-0.715725194710067,-0.876427664975023,-2.31764141783942,1,18
"Agoseris heterophylla","2017",56,"No Grass","C",74,15,1,94,0.0666666666666667,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.787234042553192,19
"Agoseris heterophylla","2017",5,"Grass","W",83,15,0,94,0,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.882978723404255,20
"Agoseris heterophylla","2017",30,"Grass","C",94,15,1,94,0.0666666666666667,-0.715725194710067,-0.876427664975023,-2.31764141783942,1,21
"Agoseris heterophylla","2016",18,"Grass","C",95,25,7,95,0.28,-0.715725194710067,-0.876427664975023,-2.31764141783942,1,22
"Agoseris heterophylla","2016",23,"Grass","W",95,35,18,95,0.514285714285714,-0.715725194710067,-0.876427664975023,-2.31764141783942,1,23
"Agoseris heterophylla","2016",82,"No Grass","C",51,30,7,95,0.233333333333333,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.536842105263158,24
"Agoseris heterophylla","2017",59,"Grass","W",90,15,0,94,0,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.957446808510638,25
"Agoseris heterophylla","2016",29,"No Grass","W",62,32,8,95,0.25,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.652631578947368,26
"Agoseris heterophylla","2016",50,"No Grass","C",69,26,4,95,0.153846153846154,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.726315789473684,27
"Agoseris heterophylla","2016",92,"Grass","C",56,27,13,95,0.481481481481481,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.589473684210526,28
"Agoseris heterophylla","2016",19,"Grass","W",81,24,7,95,0.291666666666667,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.852631578947368,29
"Agoseris heterophylla","2016",98,"No Grass","C",95,36,17,95,0.472222222222222,-0.715725194710067,-0.876427664975023,-2.31764141783942,1,30
"Agoseris heterophylla","2017",59,"No Grass","W",78,15,0,94,0,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.829787234042553,31
"Agoseris heterophylla","2017",15,"Grass","W",77,15,2,94,0.133333333333333,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.819148936170213,32
"Agoseris heterophylla","2016",56,"No Grass","C",82,25,7,95,0.28,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.863157894736842,33
"Agoseris heterophylla","2016",37,"No Grass","W",68,35,17,95,0.485714285714286,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.715789473684211,34
"Agoseris heterophylla","2016",96,"No Grass","C",88,39,13,95,0.333333333333333,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.926315789473684,35
"Agoseris heterophylla","2016",55,"No Grass","W",70,27,6,95,0.222222222222222,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.736842105263158,36
"Agoseris heterophylla","2016",84,"Grass","C",51,27,12,95,0.444444444444444,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.536842105263158,37
"Agoseris heterophylla","2016",50,"Grass","C",85,24,11,95,0.458333333333333,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.894736842105263,38
"Agoseris heterophylla","2016",95,"No Grass","D",82,27,6,95,0.222222222222222,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.863157894736842,39
"Agoseris heterophylla","2016",37,"Grass","W",61,26,7,95,0.269230769230769,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.642105263157895,40
"Agoseris heterophylla","2016",59,"Grass","W",83,25,10,95,0.4,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.873684210526316,41
"Agoseris heterophylla","2016",49,"No Grass","W",78,34,27,95,0.794117647058823,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.821052631578947,42
"Agoseris heterophylla","2016",89,"No Grass","D",75,32,12,95,0.375,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.789473684210526,43
"Agoseris heterophylla","2016",23,"No Grass","W",79,35,17,95,0.485714285714286,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.831578947368421,44
"Agoseris heterophylla","2017",98,"Grass","C",43,18,7,94,0.388888888888889,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.457446808510638,45
"Agoseris heterophylla","2016",96,"Grass","C",64,44,24,95,0.545454545454545,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.673684210526316,46
"Agoseris heterophylla","2016",15,"No Grass","W",85,30,5,95,0.166666666666667,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.894736842105263,47
"Agoseris heterophylla","2016",81,"Grass","D",46,20,3,95,0.15,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.484210526315789,48
"Agoseris heterophylla","2017",98,"No Grass","C",23,18,10,94,0.555555555555556,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.24468085106383,49
"Agoseris heterophylla","2016",99,"Grass","D",78,28,19,95,0.678571428571429,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.821052631578947,50
"Agoseris heterophylla","2017",17,"No Grass","W",20,15,0,94,0,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.212765957446809,51
"Agoseris heterophylla","2017",82,"Grass","C",68,18,5,94,0.277777777777778,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.723404255319149,52
"Agoseris heterophylla","2016",49,"Grass","W",71,27,6,95,0.222222222222222,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.747368421052632,53
"Agoseris heterophylla","2016",99,"No Grass","D",72,23,2,95,0.0869565217391304,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.757894736842105,54
"Agoseris heterophylla","2016",97,"Grass","D",78,33,18,95,0.545454545454545,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.821052631578947,55
"Agoseris heterophylla","2017",92,"No Grass","C",69,15,1,94,0.0666666666666667,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.734042553191489,56
"Agoseris heterophylla","2016",56,"Grass","C",72,21,6,95,0.285714285714286,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.757894736842105,57
"Agoseris heterophylla","2016",30,"Grass","C",71,27,8,95,0.296296296296296,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.747368421052632,58
"Agoseris heterophylla","2016",92,"No Grass","C",92,30,7,95,0.233333333333333,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.968421052631579,59
"Agoseris heterophylla","2017",18,"No Grass","C",84,15,1,94,0.0666666666666667,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.893617021276596,60
"Agoseris heterophylla","2016",19,"No Grass","W",95,21,8,95,0.380952380952381,-0.715725194710067,-0.876427664975023,-2.31764141783942,1,61
"Agoseris heterophylla","2017",55,"No Grass","W",79,15,0,94,0,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.840425531914894,62
"Agoseris heterophylla","2017",50,"No Grass","C",94,15,4,94,0.266666666666667,-0.715725194710067,-0.876427664975023,-2.31764141783942,1,63
"Agoseris heterophylla","2016",30,"No Grass","C",64,26,5,95,0.192307692307692,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.673684210526316,64
"Agoseris heterophylla","2017",92,"Grass","C",51,15,5,94,0.333333333333333,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.542553191489362,65
"Agoseris heterophylla","2017",49,"No Grass","W",55,19,13,94,0.684210526315789,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.585106382978723,66
"Agoseris heterophylla","2016",18,"No Grass","C",74,25,7,95,0.28,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.778947368421053,67
"Agoseris heterophylla","2016",93,"Grass","D",74,37,16,95,0.432432432432432,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.778947368421053,68
"Agoseris heterophylla","2016",84,"No Grass","C",80,29,4,95,0.137931034482759,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.842105263157895,69
"Agoseris heterophylla","2017",37,"No Grass","W",45,15,5,94,0.333333333333333,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.478723404255319,70
"Agoseris heterophylla","2016",55,"Grass","W",77,21,2,95,0.0952380952380952,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.810526315789474,71
"Agoseris heterophylla","2016",59,"No Grass","W",88,24,3,95,0.125,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.926315789473684,72
"Agoseris heterophylla","2017",19,"No Grass","W",52,15,2,94,0.133333333333333,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.553191489361702,73
"Agoseris heterophylla","2017",86,"Grass","C",94,15,0,94,0,-0.715725194710067,-0.876427664975023,-2.31764141783942,1,74
"Agoseris heterophylla","2016",89,"Grass","D",71,28,5,95,0.178571428571429,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.747368421052632,75
"Agoseris heterophylla","2016",95,"Grass","D",71,29,10,95,0.344827586206897,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.747368421052632,76
"Agoseris heterophylla","2017",49,"Grass","W",83,16,3,94,0.1875,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.882978723404255,77
"Agoseris heterophylla","2017",55,"Grass","W",79,15,1,94,0.0666666666666667,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.840425531914894,78
"Agoseris heterophylla","2017",29,"Grass","W",94,15,0,94,0,-0.715725194710067,-0.876427664975023,-2.31764141783942,1,79
"Agoseris heterophylla","2017",56,"Grass","C",93,15,0,94,0,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.98936170212766,80
"Agoseris heterophylla","2017",86,"No Grass","C",94,15,3,94,0.2,-0.715725194710067,-0.876427664975023,-2.31764141783942,1,81
"Agoseris heterophylla","2017",50,"Grass","C",63,16,1,94,0.0625,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.670212765957447,82
"Agoseris heterophylla","2016",83,"Grass","D",62,27,10,95,0.37037037037037,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.652631578947368,83
"Agoseris heterophylla","2016",93,"No Grass","D",71,21,1,95,0.0476190476190476,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.747368421052632,84
"Agoseris heterophylla","2016",82,"Grass","C",52,25,5,95,0.2,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.547368421052632,85
"Agoseris heterophylla","2016",91,"No Grass","D",74,41,25,95,0.609756097560976,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.778947368421053,86
"Agoseris heterophylla","2017",29,"No Grass","W",94,15,0,94,0,-0.715725194710067,-0.876427664975023,-2.31764141783942,1,87
"Agoseris heterophylla","2017",18,"Grass","C",63,15,1,94,0.0666666666666667,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.670212765957447,88
"Agoseris heterophylla","2017",96,"No Grass","C",56,17,3,94,0.176470588235294,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.595744680851064,89
"Agoseris heterophylla","2016",91,"Grass","D",58,33,19,95,0.575757575757576,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.610526315789474,90
"Agoseris heterophylla","2016",98,"Grass","C",87,29,9,95,0.310344827586207,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.91578947368421,91
"Agoseris heterophylla","2017",19,"Grass","W",31,16,5,94,0.3125,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.329787234042553,92
"Agoseris heterophylla","2017",96,"Grass","C",53,17,13,94,0.764705882352941,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.563829787234043,93
"Agoseris heterophylla","2017",84,"Grass","C",94,16,4,94,0.25,-0.715725194710067,-0.876427664975023,-2.31764141783942,1,94
"Calycadenia pauciflora","2017",84,"No Grass","C",6,9,5,31,0.555555555555556,0.771092143133398,1.54518049907422,1.73249998728004,0.193548387096774,95
"Calycadenia pauciflora","2017",15,"No Grass","W",11,11,2,31,0.181818181818182,0.771092143133398,1.54518049907422,1.73249998728004,0.354838709677419,96
"Calycadenia pauciflora","2017",56,"Grass","C",15,15,11,31,0.733333333333333,0.771092143133398,1.54518049907422,1.73249998728004,0.483870967741935,97
"Calycadenia pauciflora","2017",50,"Grass","C",19,15,8,31,0.533333333333333,0.771092143133398,1.54518049907422,1.73249998728004,0.612903225806452,98
"Calycadenia pauciflora","2017",59,"Grass","W",17,16,14,31,0.875,0.771092143133398,1.54518049907422,1.73249998728004,0.548387096774194,99
"Calycadenia pauciflora","2017",18,"No Grass","C",15,15,15,31,1,0.771092143133398,1.54518049907422,1.73249998728004,0.483870967741935,100
"Calycadenia pauciflora","2017",55,"No Grass","W",14,14,12,31,0.857142857142857,0.771092143133398,1.54518049907422,1.73249998728004,0.451612903225806,101
"Calycadenia pauciflora","2017",17,"Grass","W",10,10,9,31,0.9,0.771092143133398,1.54518049907422,1.73249998728004,0.32258064516129,102
"Calycadenia pauciflora","2017",50,"No Grass","C",24,15,11,31,0.733333333333333,0.771092143133398,1.54518049907422,1.73249998728004,0.774193548387097,103
"Calycadenia pauciflora","2017",82,"Grass","C",17,15,12,31,0.8,0.771092143133398,1.54518049907422,1.73249998728004,0.548387096774194,104
"Calycadenia pauciflora","2017",29,"Grass","W",9,9,9,31,1,0.771092143133398,1.54518049907422,1.73249998728004,0.290322580645161,105
"Calycadenia pauciflora","2017",18,"Grass","C",11,12,9,31,0.75,0.771092143133398,1.54518049907422,1.73249998728004,0.354838709677419,106
"Calycadenia pauciflora","2017",15,"Grass","W",21,15,0,31,0,0.771092143133398,1.54518049907422,1.73249998728004,0.67741935483871,107
"Calycadenia pauciflora","2017",82,"No Grass","C",21,15,3,31,0.2,0.771092143133398,1.54518049907422,1.73249998728004,0.67741935483871,108
"Calycadenia pauciflora","2017",30,"No Grass","C",7,9,9,31,1,0.771092143133398,1.54518049907422,1.73249998728004,0.225806451612903,109
"Calycadenia pauciflora","2017",92,"No Grass","C",12,12,8,31,0.666666666666667,0.771092143133398,1.54518049907422,1.73249998728004,0.387096774193548,110
"Calycadenia pauciflora","2017",29,"No Grass","W",16,15,15,31,1,0.771092143133398,1.54518049907422,1.73249998728004,0.516129032258065,111
"Calycadenia pauciflora","2017",55,"Grass","W",20,15,10,31,0.666666666666667,0.771092143133398,1.54518049907422,1.73249998728004,0.645161290322581,112
"Calycadenia pauciflora","2017",92,"Grass","C",10,10,5,31,0.5,0.771092143133398,1.54518049907422,1.73249998728004,0.32258064516129,113
"Calycadenia pauciflora","2017",5,"Grass","W",9,10,3,31,0.3,0.771092143133398,1.54518049907422,1.73249998728004,0.290322580645161,114
"Calycadenia pauciflora","2017",59,"No Grass","W",10,11,8,31,0.727272727272727,0.771092143133398,1.54518049907422,1.73249998728004,0.32258064516129,115
"Calycadenia pauciflora","2017",30,"Grass","C",4,4,4,31,1,0.771092143133398,1.54518049907422,1.73249998728004,0.129032258064516,116
"Calycadenia pauciflora","2017",23,"Grass","W",28,15,7,31,0.466666666666667,0.771092143133398,1.54518049907422,1.73249998728004,0.903225806451613,117
"Calycadenia pauciflora","2017",84,"Grass","C",8,9,4,31,0.444444444444444,0.771092143133398,1.54518049907422,1.73249998728004,0.258064516129032,118
"Calycadenia pauciflora","2017",96,"No Grass","C",9,9,7,31,0.777777777777778,0.771092143133398,1.54518049907422,1.73249998728004,0.290322580645161,119
"Calycadenia pauciflora","2017",5,"No Grass","W",12,13,7,31,0.538461538461538,0.771092143133398,1.54518049907422,1.73249998728004,0.387096774193548,120
"Calycadenia pauciflora","2017",19,"Grass","W",11,11,3,31,0.272727272727273,0.771092143133398,1.54518049907422,1.73249998728004,0.354838709677419,121
"Calycadenia pauciflora","2017",37,"No Grass","W",20,15,9,31,0.6,0.771092143133398,1.54518049907422,1.73249998728004,0.645161290322581,122
"Calycadenia pauciflora","2017",98,"Grass","C",17,15,13,31,0.866666666666667,0.771092143133398,1.54518049907422,1.73249998728004,0.548387096774194,123
"Calycadenia pauciflora","2017",96,"Grass","C",6,6,6,31,1,0.771092143133398,1.54518049907422,1.73249998728004,0.193548387096774,124
"Calycadenia pauciflora","2017",23,"No Grass","W",12,15,4,31,0.266666666666667,0.771092143133398,1.54518049907422,1.73249998728004,0.387096774193548,125
"Calycadenia pauciflora","2017",49,"Grass","W",12,13,0,31,0,0.771092143133398,1.54518049907422,1.73249998728004,0.387096774193548,126
"Calycadenia pauciflora","2017",19,"No Grass","W",27,16,3,31,0.1875,0.771092143133398,1.54518049907422,1.73249998728004,0.870967741935484,127
"Calycadenia pauciflora","2017",86,"Grass","C",16,15,2,31,0.133333333333333,0.771092143133398,1.54518049907422,1.73249998728004,0.516129032258065,128
"Calycadenia pauciflora","2017",37,"Grass","W",12,12,6,31,0.5,0.771092143133398,1.54518049907422,1.73249998728004,0.387096774193548,129
"Calycadenia pauciflora","2017",56,"No Grass","C",8,8,4,31,0.5,0.771092143133398,1.54518049907422,1.73249998728004,0.258064516129032,130
"Calycadenia pauciflora","2017",17,"No Grass","W",11,11,1,31,0.0909090909090909,0.771092143133398,1.54518049907422,1.73249998728004,0.354838709677419,131
"Calycadenia pauciflora","2017",49,"No Grass","W",19,15,9,31,0.6,0.771092143133398,1.54518049907422,1.73249998728004,0.612903225806452,132
"Calycadenia pauciflora","2017",86,"No Grass","C",3,3,0,31,0,0.771092143133398,1.54518049907422,1.73249998728004,0.0967741935483871,133
"Calycadenia pauciflora","2017",98,"No Grass","C",12,13,11,31,0.846153846153846,0.771092143133398,1.54518049907422,1.73249998728004,0.387096774193548,134
"Clarkia purpurea","2016",97,"Grass","D",12,12,12,96,1,0.563663236086071,0.605290877224273,1.08410568900997,0.125,135
"Clarkia purpurea","2016",96,"No Grass","C",20,20,1,96,0.05,0.563663236086071,0.605290877224273,1.08410568900997,0.208333333333333,136
"Clarkia purpurea","2017",55,"No Grass","W",26,16,9,96,0.5625,0.563663236086071,0.605290877224273,1.08410568900997,0.270833333333333,137
"Clarkia purpurea","2017",15,"Grass","W",9,11,2,96,0.181818181818182,0.563663236086071,0.605290877224273,1.08410568900997,0.09375,138
"Clarkia purpurea","2016",15,"No Grass","W",31,27,3,96,0.111111111111111,0.563663236086071,0.605290877224273,1.08410568900997,0.322916666666667,139
"Clarkia purpurea","2016",23,"Grass","W",32,23,10,96,0.434782608695652,0.563663236086071,0.605290877224273,1.08410568900997,0.333333333333333,140
"Clarkia purpurea","2017",18,"No Grass","C",12,15,14,96,0.933333333333333,0.563663236086071,0.605290877224273,1.08410568900997,0.125,141
"Clarkia purpurea","2017",19,"No Grass","W",34,15,6,96,0.4,0.563663236086071,0.605290877224273,1.08410568900997,0.354166666666667,142
"Clarkia purpurea","2016",95,"No Grass","D",21,19,8,96,0.421052631578947,0.563663236086071,0.605290877224273,1.08410568900997,0.21875,143
"Clarkia purpurea","2017",5,"No Grass","W",21,17,5,96,0.294117647058824,0.563663236086071,0.605290877224273,1.08410568900997,0.21875,144
"Clarkia purpurea","2016",81,"Grass","D",38,29,18,96,0.620689655172414,0.563663236086071,0.605290877224273,1.08410568900997,0.395833333333333,145
"Clarkia purpurea","2016",84,"No Grass","C",33,27,11,96,0.407407407407407,0.563663236086071,0.605290877224273,1.08410568900997,0.34375,146
"Clarkia purpurea","2016",18,"No Grass","C",61,30,9,96,0.3,0.563663236086071,0.605290877224273,1.08410568900997,0.635416666666667,147
"Clarkia purpurea","2016",83,"Grass","D",32,25,16,96,0.64,0.563663236086071,0.605290877224273,1.08410568900997,0.333333333333333,148
"Clarkia purpurea","2016",56,"Grass","C",26,21,6,96,0.285714285714286,0.563663236086071,0.605290877224273,1.08410568900997,0.270833333333333,149
"Clarkia purpurea","2017",86,"No Grass","C",4,8,6,96,0.75,0.563663236086071,0.605290877224273,1.08410568900997,0.0416666666666667,150
"Clarkia purpurea","2017",18,"Grass","C",15,16,16,96,1,0.563663236086071,0.605290877224273,1.08410568900997,0.15625,151
"Clarkia purpurea","2016",92,"No Grass","C",29,25,6,96,0.24,0.563663236086071,0.605290877224273,1.08410568900997,0.302083333333333,152
"Clarkia purpurea","2016",83,"No Grass","D",30,25,8,96,0.32,0.563663236086071,0.605290877224273,1.08410568900997,0.3125,153
"Clarkia purpurea","2016",91,"Grass","D",43,33,15,96,0.454545454545455,0.563663236086071,0.605290877224273,1.08410568900997,0.447916666666667,154
"Clarkia purpurea","2016",93,"No Grass","D",26,21,19,96,0.904761904761905,0.563663236086071,0.605290877224273,1.08410568900997,0.270833333333333,155
"Clarkia purpurea","2016",18,"Grass","C",33,29,10,96,0.344827586206897,0.563663236086071,0.605290877224273,1.08410568900997,0.34375,156
"Clarkia purpurea","2016",98,"Grass","C",13,13,11,96,0.846153846153846,0.563663236086071,0.605290877224273,1.08410568900997,0.135416666666667,157
"Clarkia purpurea","2017",92,"Grass","C",25,16,7,96,0.4375,0.563663236086071,0.605290877224273,1.08410568900997,0.260416666666667,158
"Clarkia purpurea","2016",17,"No Grass","W",41,25,6,96,0.24,0.563663236086071,0.605290877224273,1.08410568900997,0.427083333333333,159
"Clarkia purpurea","2016",92,"Grass","C",58,28,7,96,0.25,0.563663236086071,0.605290877224273,1.08410568900997,0.604166666666667,160
"Clarkia purpurea","2016",81,"No Grass","D",28,26,10,96,0.384615384615385,0.563663236086071,0.605290877224273,1.08410568900997,0.291666666666667,161
"Clarkia purpurea","2016",89,"No Grass","D",39,32,9,96,0.28125,0.563663236086071,0.605290877224273,1.08410568900997,0.40625,162
"Clarkia purpurea","2017",30,"No Grass","C",20,15,6,96,0.4,0.563663236086071,0.605290877224273,1.08410568900997,0.208333333333333,163
"Clarkia purpurea","2016",19,"Grass","W",39,22,1,96,0.0454545454545455,0.563663236086071,0.605290877224273,1.08410568900997,0.40625,164
