"Species","Plot","Subplot","Treat.Code","Year","Date","flo.a","flo.b","flo.c","avg.flo","sd.flo","n.ind","avg.seed.inf","n.seed.ind","cov.g","PC.G","PC.F","PC.s13"
"Agoseris heterophylla",55,"No Grass","W",2016,"2016-05-08",0,0,16,1.2,0.447213595499958,5,16.25,18.6115107945,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",19,"No Grass","W",2016,"2016-04-24",0,0,13,1.8,0.836660026534076,5,51.9285714285714,89.2125385556143,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",89,"No Grass","D",2016,"2016-05-08",0,0,15,2,0.707106781186548,5,37.1578947368421,70.9296983585263,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",17,"Grass","W",2016,"2016-05-08",0,0,15,1,0,5,36.5714285714286,34.9051044937143,80,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",49,"No Grass","W",2016,"2016-05-20",0,0,6,2.2,0.447213595499958,5,40,83.990407688,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",15,"Grass","W",2016,"2016-05-20",0,0,5,1.4,0.894427190999916,5,62.2857142857143,83.2268585272,25,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",30,"Grass","C",2016,"2016-04-24",0,0,16,1,0,5,5,4.772182255,35,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",50,"Grass","C",2016,"2016-05-08",0,0,8,1,0,5,8,7.635491608,70,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",81,"No Grass","D",2016,"2016-05-08",0,0,14,2.2,0.836660026534076,5,55.5882352941176,116.721963625235,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",55,"Grass","W",2016,"2016-05-08",0,0,13,1,0,5,3.66666666666667,3.49960032033334,80,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",29,"No Grass","W",2016,"2016-04-24",4,1,14,1.4,0.547722557505166,5,45.4,60.66398082556,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",30,"No Grass","C",2016,"2016-05-08",0,1,15,2.8,1.30384048104053,5,26.3333333333333,70.3737809870666,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",5,"No Grass","W",2016,"2016-05-08",0,0,21,2.4,1.14017542509914,5,56.7,129.87971225208,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",23,"No Grass","W",2016,"2016-05-08",6,0,8,1.4,0.547722557505166,5,38.3,51.17688250262,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",23,"Grass","W",2016,"2016-05-08",1,0,9,1.6,0.547722557505166,5,25.6,39.09371703296,30,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",56,"No Grass","C",2016,"2016-05-08",0,1,10,1.2,0.447213595499958,5,21.4,24.50992806168,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",19,"Grass","W",2016,"2016-05-08",1,0,15,1,0,5,48.8888888888889,46.6613376044445,30,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",92,"Grass","C",2016,"2016-04-24",3,6,5,1,0,5,17,16.225419667,25,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",15,"No Grass","W",2016,"2016-05-08",0,0,20,2.2,0.836660026534076,5,67.2,141.10388491584,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",96,"Grass","C",2016,"2016-05-08",0,1,11,1.4,0.547722557505166,5,31.1666666666667,41.6452438119666,30,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",59,"Grass","W",2016,"2016-04-24",0,0,15,1.2,0.447213595499958,5,18,20.6158273416,40,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",18,"Grass","C",2016,"2016-04-24",3,2,12,1,0,5,51,48.676259001,40,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",99,"No Grass","D",2016,"2016-05-08",0,6,12,2.4,1.34164078649987,5,32.2857142857143,73.9551901460571,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",18,"No Grass","C",2016,"2016-05-08",0,0,13,3.8,1.48323969741913,5,52.1666666666667,189.201119136566,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",82,"Grass","C",2016,"2016-05-08",0,0,15,1.8,0.447213595499958,5,31.1428571428571,53.5029804817715,10,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",82,"No Grass","C",2016,"2016-05-08",0,0,12,2.4,1.14017542509914,5,50.5,115.6776978612,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",89,"Grass","D",2016,"2016-05-08",0,0,16,1.4,0.547722557505166,5,33.6666666666667,44.9857713904666,10,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",97,"Grass","D",2016,"2016-05-08",0,0,13,1,0,5,3.75,3.57913669125,60,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",98,"No Grass","C",2016,"2016-05-20",1,1,4,1,0,5,16,15.270983216,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",37,"No Grass","W",2016,"2016-05-08",1,0,10,1.8,0.447213595499958,5,33.5555555555556,57.6479616404,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",84,"Grass","C",2016,"2016-05-08",1,0,11,2.2,0.836660026534076,5,32.25,67.71726619845,40,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",5,"Grass","W",2016,"2016-04-24",3,0,18,1,0,5,28.1666666666667,26.8832933698334,30,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",83,"Grass","D",2016,"2016-04-24",0,10,6,1,0,5,14.6,13.9347721846,80,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",59,"No Grass","W",2016,"2016-05-08",0,4,11,1.6,0.547722557505166,5,38.7142857142857,59.1205207362286,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",92,"No Grass","C",2016,"2016-05-08",4,0,10,2.4,1.14017542509914,5,41.8,95.74906476432,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",81,"Grass","D",2016,"2016-04-24",0,1,7,1,0,5,18.6,17.7525179886,80,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",93,"Grass","D",2016,"2016-05-08",0,0,13,2,1.22474487139159,5,35.4,67.5741007308,25,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",96,"No Grass","C",2016,"2016-05-20",0,0,11,2.4,0.894427190999916,5,39.125,89.6215827489,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",37,"Grass","W",2016,"2016-05-08",0,0,16,1,0,5,15,14.316546765,30,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",50,"No Grass","C",2016,"2016-05-08",1,0,10,2,1.4142135623731,5,30.2222222222222,57.6903810382222,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",95,"No Grass","D",2016,"2016-05-20",0,0,18,2.6,0.894427190999916,5,39.6666666666667,98.4342126464663,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",56,"Grass","C",2016,"2016-04-24",0,5,9,1,0,5,27.6,26.3424460476,70,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",97,"No Grass","D",2016,"2016-05-08",4,5,10,2.4,1.14017542509914,5,38.7272727272727,88.7105297729454,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",95,"Grass","D",2016,"2016-05-08",0,0,18,2.4,0.894427190999916,5,34.9,79.94359713576,30,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",93,"No Grass","D",2016,"2016-04-24",1,10,0,2.2,1.78885438199983,5,45.9,96.37899282198,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",83,"No Grass","D",2016,"2016-04-24",2,2,15,1.6,0.547722557505166,5,57.5,87.808153492,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",17,"No Grass","W",2016,"2016-05-08",2,1,11,2,0.707106781186548,5,50.1111111111111,95.6557420891109,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",84,"No Grass","C",2016,"2016-05-20",0,0,16,3.8,1.30384048104053,5,44.2857142857143,160.618019896857,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",5,"Grass","W",2017,"2017-05-19",0,0,2,1.4,0.547722557505166,5,42.3571428571429,56.5980815443,80,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",49,"No Grass","W",2017,"2017-05-19",0,0,1,1.2,0.447213595499958,5,16,18.3251798592,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",92,"Grass","C",2017,"2017-05-19",0,0,6,1,0,5,13,12.407673863,100,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",50,"No Grass","C",2017,"2017-05-19",0,0,7,1,0,5,12.3333333333333,11.7713828956666,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",82,"No Grass","C",2017,"2017-05-19",0,0,7,2.2,0.447213595499958,5,26.3333333333333,55.2936850612666,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",56,"Grass","C",2017,"2017-05-19",0,0,3,1,0,5,20.5454545454545,19.6093307205454,80,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",59,"Grass","W",2017,"2017-05-19",0,0,2,1,0,5,14.5,13.8393285395,100,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",86,"No Grass","C",2017,"2017-05-19",0,0,8,1,0,5,23.125,22.071342929375,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",84,"No Grass","C",2017,"2017-05-19",0,0,4,1.4,0.547722557505166,5,24.5833333333333,32.8485211885834,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",84,"Grass","C",2017,"2017-05-19",0,0,4,1,0,4,24.375,23.264388493125,50,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",19,"Grass","W",2017,"2017-05-19",0,0,10,1,0,5,24.75,23.62230216225,85,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",37,"No Grass","W",2017,"2017-05-19",0,0,3,1,0,5,13.6,12.9803357336,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",15,"Grass","W",2017,"2017-05-19",0,0,8,1.2,0.447213595499958,5,36.8461538461538,42.2007747719077,30,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",98,"No Grass","C",2017,"2017-05-19",0,0,6,1,0,5,13.6666666666667,13.0439648303334,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",37,"Grass","W",2017,"2017-05-19",0,0,4,1,0,5,14.7142857142857,14.0438506361428,80,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",17,"No Grass","W",2017,"2017-05-19",0,0,12,1.6,0.547722557505166,5,25.5,38.9410072008,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",23,"Grass","W",2017,"2017-05-19",0,0,6,1,0,5,11.6666666666667,11.1350919283334,70,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",96,"No Grass","C",2017,"2017-05-19",0,0,13,2.2,0.836660026534076,5,53.4615384615385,112.256410275308,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",55,"Grass","W",2017,"2017-05-19",0,0,2,1,0,5,10.1818181818182,9.71789841018184,40,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",18,"No Grass","C",2017,"2017-05-19",0,0,13,1.4,0.547722557505166,5,22,29.3966426908,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",15,"No Grass","W",2017,"2017-05-19",0,0,7,1,0,5,16,15.270983216,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",82,"Grass","C",2017,"2017-05-19",0,0,11,1.6,0.547722557505166,5,57.5,87.808153492,45,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",29,"No Grass","W",2017,"2017-05-19",0,0,14,2.4,1.14017542509914,5,40.7692307692308,93.387935820923,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",18,"Grass","C",2017,"2017-05-19",0,0,7,1,0,5,16.1111111111111,15.3770317105555,95,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",59,"No Grass","W",2017,"2017-05-19",0,0,6,1.2,0.447213595499958,5,26.6666666666667,30.541966432,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",30,"Grass","C",2017,"2017-05-19",0,0,5,1.4,0.547722557505166,5,18.5833333333333,24.8312550001834,75,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",98,"Grass","C",2017,"2017-05-19",0,0,2,1,0,5,17.7777777777778,16.9677591288889,80,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",17,"Grass","W",2017,"2017-05-19",0,0,10,1.2,0.447213595499958,5,17,19.4705036004,90,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",96,"Grass","C",2017,"2017-05-19",0,0,6,1,0,5,41,39.131894491,25,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",86,"Grass","C",2017,"2017-05-19",0,0,8,2,1,5,20,38.17745804,40,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",30,"No Grass","C",2017,"2017-05-19",0,0,10,2.2,1.09544511501033,5,32.7222222222222,68.7088196225445,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",49,"Grass","W",2017,"2017-05-19",0,0,2,1,0,5,23.2,22.1429256632,120,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",56,"No Grass","C",2017,"2017-05-19",0,0,5,1.4,0.547722557505166,5,26,34.7414868164,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",55,"No Grass","W",2017,"2017-05-19",0,0,4,1,0,5,20.6153846153846,19.6760745283077,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",19,"No Grass","W",2017,"2017-05-19",0,0,12,2,0.707106781186548,5,41.6875,79.576139102125,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",29,"Grass","W",2017,"2017-05-19",0,0,7,1.6,0.547722557505166,5,23.2857142857143,35.5595752029715,85,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",50,"Grass","C",2017,"2017-05-19",0,0,5,1,0,5,21.6666666666667,20.6794564383334,95,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",92,"No Grass","C",2017,"2017-05-19",0,0,14,2,1,5,45.9166666666667,87.6490807501666,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",5,"No Grass","W",2017,"2017-05-19",0,0,5,1.4,0.547722557505166,5,20.375,27.225299764775,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",23,"No Grass","W",2017,"2017-05-19",0,0,4,1,0,5,28.7272727272727,27.4183562287272,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Calycadenia pauciflora",84,"Grass","C",2017,"2017-08-21",0,0,3,19.4,15.7575378787424,5,3.5,31.06425,50,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",18,"Grass","C",2017,"2017-08-21",0,0,3,3,1.73205080756888,3,3.75,5.146875,95,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",92,"Grass","C",2017,"2017-08-21",0,0,5,1.8,0.836660026534076,5,2,1.647,100,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",19,"Grass","W",2017,"2017-08-21",0,0,3,7,4.35889894354067,3,3.79,12.137475,85,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",92,"No Grass","C",2017,"2017-08-21",0,0,4,3.33333333333333,1.15470053837925,3,2.125,3.240625,NA,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",5,"Grass","W",2017,"2017-08-21",0,0,1,3.8,2.38746727726266,5,2.6875,4.67221875,80,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",82,"Grass","C",2017,"2017-08-21",0,0,3,11.3333333333333,3.78593889720018,3,5.15384615384615,26.7226923076923,45,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",49,"Grass","W",2017,"2017-08-21",0,0,7,8.6,3.84707681233427,5,3,11.8035,120,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",19,"No Grass","W",2017,"2017-08-21",0,0,8,12.2,5.54075807087803,5,4.29166666666667,23.9539375,NA,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",50,"Grass","C",2017,"2017-08-21",0,0,7,5.6,5.31977443130815,5,5.125,13.13025,95,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",84,"No Grass","C",2017,"2017-08-21",0,0,3,14.25,20.7103033938826,4,2.42857142857143,15.8327678571429,NA,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",37,"Grass","W",2017,"2017-06-26",4,1,0,2.6,1.67332005306815,5,3.63636363636364,4.32545454545455,80,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",59,"No Grass","W",2017,"2017-08-21",0,0,3,3.66666666666667,2.51661147842358,3,4.875,8.1778125,NA,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",59,"Grass","W",2017,"2017-08-21",0,0,2,2,1.4142135623731,2,0.333333333333333,0.305,100,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",15,"Grass","W",2017,"2017-08-21",0,1,12,9.2,8.89943818451479,5,1.8,7.5762,30,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",56,"Grass","C",2017,"2017-08-21",0,0,4,1.5,0.707106781186548,2,5.33333333333333,3.66,80,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",17,"No Grass","W",2017,"2017-08-21",0,0,4,10.6,9.37016542009798,5,3.05555555555556,14.8179166666667,NA,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",50,"No Grass","C",2017,"2017-08-21",0,0,4,5.66666666666667,3.78593889720018,3,4.35714285714286,11.2958928571429,NA,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",17,"Grass","W",2017,"2017-08-21",0,0,1,3,NA,1,3.5,4.80375,90,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",15,"No Grass","W",2017,"2017-08-21",0,0,4,12.25,4.99165971062398,4,3.6,20.17575,NA,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",49,"No Grass","W",2017,"2017-08-21",0,0,2,1.5,0.707106781186548,2,3.93333333333333,2.69925,NA,0.771092143133398,1.54518049907422,1.73249998728004
